"Sex" "Fat" "StorageTime" "Year"
"F" 14.579 83 2014
"M" 11.617 61 2014
"M" 14.39 73 2014
"M" 11.546 3 2014
"F" 80.112 11 2015
"M" 51.726 427 2015
"F" 150.678 10 2015
"M" 1.29 14 2015
"M" 48.255 46 2015
"M" 5.831 179 2015
"F" 47 25 2015
"M" 18.885 10 2015
"F" 10.825 6 2015
"F" 16.013 6 2015
"M" 1.045 41 2015
"F" 40.615 6 2015
"M" 24.051 6 2015
"F" 15.02 42 2015
"F" 28.4 6 2015
"M" 15.464 42 2015
"M" 0.622 101 2015
"M" 0.059 29 2015
"M" 0.971 5 2015
"M" 5.972 11 2015
"M" 19.579 4 2015
"F" 65.241 230 2015
"M" 30.853 62 2015
"M" 2.792 27 2015
"F" 6.623 21 2015
"M" 0.816 21 2015
"M" 1.398 6 2015
"M" 1.702 72 2015
"F" 0.802 18 2015
"M" 2.103 34 2015
"M" 2.23 26 2015
"M" 16.567 343 2012
"F" 8.223 549 2015
"F" 13.522 123 2015
"M" 1.357 31 2015
"M" 3.193 54 2015
"M" 12.366 24 2015
"M" 1.469 25 2015
"F" 3.216 846 2015
"M" 1.139 61 2015
"M" 0.435 117 2015
"F" 6.07 10 2015
"M" 0.765 10 2015
"F" 5.408 10 2015
"M" 5.761 17 2015
"M" 1.355 11 2015
"M" 2.685 3 2015
"F" 4.397 34 2015
"M" 0.281 4 2015
"M" 0.638 110 2015
"M" 1.896 19 2015
"M" 5.154 11 2015
"F" 3.877 3 2015
"M" 4.044 263 2015
"M" 8.034 33 2015
"F" 0.701 80 2015
"F" 14.154 3 2015
"M" 1.285 77 2015
"M" 0.761 1 2015
"M" 0.749 1 2015
"M" 0.625 34 2015
"M" 4.545 12 2015
"F" 0.246 257 2015
"M" 1.036 12 2015
"M" 0.681 42 2015
"M" 0.809 73 2015
"F" 0.211 130 2015
"M" 5.761 124 2015
"M" 0.211 132 2015
"F" 0.175 522 2015
"F" 54.756 1 2015
"F" 2.067 21 2015
"F" 0.546 124 2015
"F" 0.473 836 2015
"M" 8.518 249 2015
"F" 0.303 249 2015
"M" 1.568 249 2015
"F" 0.638 248 2015
"M" 0.999 20 2015
"M" 2.723 14 2015
"F" 2.489 244 2015
